facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status,baseline_mean,baseline_std,baseline_n,relative_availability_signal,availability_label
"Parking Spot (-1.2674, 36.8175)",tier2_other,-1.267436,36.8175327,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,4,,insufficient_history
"Parking Spot (-1.2676, 36.8173)",tier2_other,-1.2675626,36.817291,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.2669, 36.8169)",tier2_other,-1.2669423,36.8169276,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.108,0.14788509052639492,5,-0.7302967433402218,typical
"Parking Spot (-1.3266, 36.8484)",tier2_other,-1.3266,36.8484009,2026-08-26 10:11:38,10,2,0,0,1.29,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.308,0.040249223594996233,5,-0.44721359549995815,typical
"Parking Spot (-1.2894, 36.8236)",tier1_cbd,-1.2894048,36.8236202,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2869, 36.8228)",tier1_cbd,-1.286916,36.8227858,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2870, 36.8228)",tier1_cbd,-1.2870067,36.82284,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2895, 36.8218)",tier1_cbd,-1.2895015,36.8218114,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2894, 36.8218)",tier1_cbd,-1.2894452,36.8217674,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2893, 36.8218)",tier1_cbd,-1.2893413,36.8217688,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2901, 36.8208)",tier1_cbd,-1.2900636,36.820763,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
"Parking Spot (-1.2900, 36.8266)",tier2_other,-1.2900473,36.8266244,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.2899, 36.8271)",tier2_other,-1.2899196,36.8270927,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.95,0.4717520535196429,5,-0.8479030393523124,typical
