osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category
660142142,Unnamed Parking,-1.2997723799999998,36.772636399999996,surface,unknown,,24/7,public,"Parking Spot (-1.2998, 36.7726)",Off-Street / Dedicated Lot
1082024939,Unnamed Parking,-1.2995622727272726,36.76627394545455,surface,unknown,,24/7,public,"Parking Spot (-1.2996, 36.7663)",Off-Street / Dedicated Lot
202499579,Unnamed Parking,-1.3080794,36.7841216,surface,unknown,,24/7,public,"Parking Spot (-1.3081, 36.7841)",Off-Street / Dedicated Lot
202499580,Unnamed Parking,-1.3082922333333333,36.78431051666667,surface,unknown,,24/7,public,"Parking Spot (-1.3083, 36.7843)",Off-Street / Dedicated Lot
2064445778,Highrise Parking,-1.3155335,36.8052222,surface,unknown,,24/7,public,Highrise Parking,Off-Street / Dedicated Lot
1004297635,Unnamed Parking,-1.3146620666666669,36.80765412222222,surface,unknown,,24/7,public,"Parking Spot (-1.3147, 36.8077)",Off-Street / Dedicated Lot
1004297636,Unnamed Parking,-1.3148769599999999,36.806952499999994,surface,unknown,,24/7,public,"Parking Spot (-1.3149, 36.8070)",Off-Street / Dedicated Lot
1004297637,Unnamed Parking,-1.31443045,36.80711598333333,surface,unknown,,24/7,public,"Parking Spot (-1.3144, 36.8071)",Off-Street / Dedicated Lot
1144642357,Unnamed Parking,-1.3054785799999997,36.80379722000001,surface,yes,,24/7,customers,"Parking Spot (-1.3055, 36.8038)",Off-Street / Dedicated Lot
5414335601,Chaka Place Parking Lot,-1.29224,36.7911521,surface,unknown,,24/7,public,Chaka Place Parking Lot,Off-Street / Dedicated Lot
61888007,Unnamed Parking,-1.29975892,36.79075646,surface,yes,,24/7,public,"Parking Spot (-1.2998, 36.7908)",Off-Street / Dedicated Lot
61888008,Unnamed Parking,-1.300118311111111,36.79119785555556,surface,no,,24/7,customers,"Parking Spot (-1.3001, 36.7912)",Off-Street / Dedicated Lot
94983819,KAPS Parking Yaya Center,-1.29312792,36.787431420000004,surface,unknown,,24/7,public,KAPS Parking Yaya Center,Off-Street / Dedicated Lot
94990207,Unnamed Parking,-1.293199314285714,36.78805131428572,surface,unknown,,24/7,public,"Parking Spot (-1.2932, 36.7881)",Off-Street / Dedicated Lot
95790445,Unnamed Parking,-1.30023154,36.78722686,surface,unknown,,24/7,public,"Parking Spot (-1.3002, 36.7872)",Off-Street / Dedicated Lot
95790447,Unnamed Parking,-1.2997258600000001,36.789444939999996,surface,yes,,24/7,public,"Parking Spot (-1.2997, 36.7894)",Off-Street / Dedicated Lot
251203939,Adams Arcade Parking,-1.3010518857142856,36.780978742857144,surface,unknown,,24/7,public,Adams Arcade Parking,Off-Street / Dedicated Lot
387483416,Oil Libya Parking,-1.3000222100000003,36.789969475,surface,no,,24/7,customers,Oil Libya Parking,Off-Street / Dedicated Lot
569218725,Unnamed Parking,-1.2993714600000001,36.790235839999994,surface,yes,,24/7,public,"Parking Spot (-1.2994, 36.7902)",Off-Street / Dedicated Lot
663448833,Unnamed Parking,-1.2949094300000004,36.78199518,surface,unknown,,24/7,public,"Parking Spot (-1.2949, 36.7820)",Off-Street / Dedicated Lot
685275621,Unnamed Parking,-1.2924181857142856,36.789456557142856,surface,unknown,,24/7,public,"Parking Spot (-1.2924, 36.7895)",Off-Street / Dedicated Lot
1058070855,Yaya Centre parking,-1.2925910466666666,36.78766572,multi-storey,unknown,,24/7,public,Yaya Centre parking,Off-Street / Dedicated Lot
1234596653,Unnamed Parking,-1.30133828,36.7925933,surface,unknown,,24/7,public,"Parking Spot (-1.3013, 36.7926)",Off-Street / Dedicated Lot
1546991610,Unnamed Parking,-1.292762418181818,36.788942736363644,surface,unknown,,24/7,public,"Parking Spot (-1.2928, 36.7889)",Off-Street / Dedicated Lot
1549023644,Unnamed Parking,-1.3000277,36.7933898,surface,unknown,,24/7,public,"Parking Spot (-1.3000, 36.7934)",Off-Street / Dedicated Lot
1333669443,Lenana Parking Lot Area,-1.2900918,36.800209,surface,unknown,,24/7,public,Lenana Parking Lot Area,Off-Street / Dedicated Lot
5401775740,Daystar university parking lot,-1.2991941,36.8027448,surface,unknown,,24/7,public,Daystar university parking lot,Off-Street / Dedicated Lot
5401775741,Nairobi Baptist Church Parking,-1.2979916,36.800926,surface,unknown,,24/7,public,Nairobi Baptist Church Parking,Off-Street / Dedicated Lot
78234233,Nairobi Hospital car park,-1.2956715222222224,36.80572392222222,surface,unknown,,24/7,public,Nairobi Hospital car park,Off-Street / Dedicated Lot
144060413,Doctors Plaza Parking,-1.29546692,36.8030446,surface,unknown,,24/7,customers,Doctors Plaza Parking,Off-Street / Dedicated Lot
245262956,Unnamed Parking,-1.3017554399999998,36.8029259,surface,no,,24/7,customers,"Parking Spot (-1.3018, 36.8029)",Off-Street / Dedicated Lot
297314206,Nairobi Hospital Car Parking,-1.2961730818181818,36.803775245454545,surface,unknown,,24/7,public,Nairobi Hospital Car Parking,Off-Street / Dedicated Lot
388048807,KNH Visitors' Parking,-1.3017342,36.80834731666666,surface,no,,24/7,public,KNH Visitors' Parking,Off-Street / Dedicated Lot
558314863,Unnamed Parking,-1.2905845285714288,36.80973778571428,surface,unknown,,24/7,public,"Parking Spot (-1.2906, 36.8097)",Off-Street / Dedicated Lot
558314876,KNH Parking,-1.2992720333333336,36.805265588888886,surface,unknown,,24/7,public,KNH Parking,Off-Street / Dedicated Lot
561740959,Telkom Plaza Parking,-1.2902744899999998,36.8060048,surface,unknown,,24/7,public,Telkom Plaza Parking,Off-Street / Dedicated Lot
859412316,Unnamed Parking,-1.2929199111111112,36.80015977777778,surface,unknown,,24/7,public,"Parking Spot (-1.2929, 36.8002)",Off-Street / Dedicated Lot
1004235752,Unnamed Parking,-1.30154902,36.804455659999995,surface,unknown,,24/7,public,"Parking Spot (-1.3015, 36.8045)",Off-Street / Dedicated Lot
1004235753,Unnamed Parking,-1.2999909727272727,36.80448307272727,surface,unknown,,24/7,public,"Parking Spot (-1.3000, 36.8045)",Off-Street / Dedicated Lot
1004236610,KMTC Parking Yard,-1.2990386142857144,36.80439852857143,surface,unknown,,24/7,public,KMTC Parking Yard,Off-Street / Dedicated Lot
1061760618,Unnamed Parking,-1.29423584,36.80989383333333,surface,unknown,,24/7,public,"Parking Spot (-1.2942, 36.8099)",Off-Street / Dedicated Lot
1239066559,Unnamed Parking,-1.2983483,36.802261439999995,street_side,unknown,,24/7,public,"Parking Spot (-1.2983, 36.8023)",On-Street
1239066560,Unnamed Parking,-1.2982388142857142,36.802291585714286,street_side,unknown,,24/7,public,"Parking Spot (-1.2982, 36.8023)",On-Street
