osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
95792724,Unnamed Parking,-1.2899774,36.7567014,surface,unknown,,24/7,public
97804272,chiefs camp,-1.2619383,36.8649355,surface,unknown,,24/7,public
113187440,Unnamed Parking,-1.2831061,36.8166694,surface,unknown,,24/7,public
123269047,Unnamed Parking,-1.291085,36.8284745,surface,unknown,,24/7,public
123617551,NSSF Parking Lot,-1.2901515,36.8128602,multi-storey,unknown,,24/7,public
125296284,Judiciary Car Park,-1.2871938,36.8236896,surface,unknown,,24/7,public
125296285,KenCom CarPark,-1.286552,36.8243483,surface,unknown,200,24/7,public
125298626,Taifa Road Parking B,-1.2879529,36.8250091,surface,unknown,,24/7,public
125299165,Unnamed Parking,-1.2874274,36.8293307,surface,unknown,,24/7,public
125300907,Unnamed Parking,-1.2903265,36.8264567,surface,unknown,,24/7,public
125300908,Unnamed Parking,-1.2911937,36.8281585,surface,unknown,,24/7,public
125645305,Unnamed Parking,-1.2822428,36.8326548,surface,unknown,,24/7,public
125687154,Unnamed Parking,-1.278926,36.8145473,surface,unknown,,24/7,public
125687155,Unnamed Parking,-1.2788068,36.815185,surface,unknown,,24/7,public
126341539,Lorry Park,-1.2804498,36.8443191,surface,unknown,,24/7,public
126903895,Green Belt Car Bazzar,-1.2783456,36.8232442,surface,yes,,24/7,public
128062279,Unnamed Parking,-1.2755111,36.8374948,surface,unknown,,24/7,public
128508147,Parking C,-1.2798249,36.8135204,surface,unknown,,24/7,public
128995078,Unnamed Parking,-1.2717263,36.8268762,surface,unknown,,24/7,public
128996199,Unnamed Parking,-1.2689561,36.8266605,surface,unknown,,24/7,public
128998864,Kenya Institute of Curriculum Development,-1.2713883,36.8275762,surface,unknown,,24/7,public
128998874,Unnamed Parking,-1.2707495,36.8258522,surface,unknown,,24/7,public
128998886,Unnamed Parking,-1.2715162,36.8277986,surface,unknown,,24/7,public
128998888,Unnamed Parking,-1.2709731,36.8250305,surface,unknown,,24/7,public
130042329,Unnamed Parking,-1.2671278,36.8374719,surface,unknown,,24/7,public
131484129,Unnamed Parking,-1.2780822,36.8489316,surface,unknown,,24/7,public
132161405,Unnamed Parking,-1.2951226,36.8507647,surface,unknown,,24/7,public
132161406,Unnamed Parking,-1.2945104,36.8504658,surface,unknown,,24/7,public
132956809,Unnamed Parking,-1.2905145,36.8371212,surface,unknown,,24/7,public
132956833,Unnamed Parking,-1.2919395,36.8376966,surface,unknown,,24/7,public
133146037,Dt Dobie Parking,-1.2978561,36.836081,surface,unknown,,24/7,public
133157623,Unnamed Parking,-1.3014879,36.831793,surface,unknown,,24/7,public
133157649,Unnamed Parking,-1.2998991,36.8329449,surface,unknown,,24/7,public
133548138,Unnamed Parking,-1.2685666,36.8174011,surface,unknown,,24/7,public
133548151,Dean and Lecturers Parking Lot,-1.2688899,36.8180584,street_side,unknown,,24/7,public
135338238,Unnamed Parking,-1.340967,36.7582111,surface,unknown,,24/7,public
135338244,CITAM Karen parking lot,-1.3405553,36.7591764,surface,unknown,,24/7,public
144060413,Doctors Plaza Parking,-1.2954966,36.8031364,surface,unknown,,24/7,customers
144112321,Strathmore Unviersity Phase II Parking Lot,-1.3099541,36.8137276,surface,unknown,,24/7,public
153567478,Unnamed Parking,-1.3136597,36.8572248,surface,unknown,,24/7,public
160272387,Galleria Parking Lot,-1.3430647,36.7650186,surface,unknown,,24/7,public
167271476,Unnamed Parking,-1.3004404,36.8147396,multi-storey,unknown,,24/7,public
202499579,Unnamed Parking,-1.3080939,36.7841672,surface,unknown,,24/7,public
202499580,Unnamed Parking,-1.3082961,36.7843802,surface,unknown,,24/7,public
224515604,Unnamed Parking,-1.2526745,36.8701461,surface,yes,1,24/7,yes
224515610,Unnamed Parking,-1.2544568,36.8670358,surface,yes,,24/7,customers
