facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status
"Parking Spot (-1.2805, 36.7699)",tier2_other,-1.2804681,36.7698729,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2964, 36.7636)",tier2_other,-1.2963932,36.7635963,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2983, 36.8023)",tier2_other,-1.298345,36.8023116,2026-08-26T10:16:44,10,2,0,0,1.26,tomtom_flow_api,56.2,calibrated_n16
"Parking Spot (-1.2982, 36.8023)",tier2_other,-1.2982343,36.8023022,2026-08-26T10:16:44,10,2,0,0,1.26,tomtom_flow_api,56.2,calibrated_n16
"Parking Spot (-1.3005, 36.8128)",tier2_other,-1.30047,36.8127662,2026-08-26T10:16:44,10,2,0,0,1.85,tomtom_flow_api,71.1,calibrated_n16
"Parking Spot (-1.2997, 36.8129)",tier2_other,-1.2996762,36.8129419,2026-08-26T10:16:44,10,2,0,0,1.26,tomtom_flow_api,56.2,calibrated_n16
"Parking Spot (-1.2824, 36.8170)",tier1_cbd,-1.2823965,36.817015,2026-08-26T10:16:44,10,2,0,0,3.0,tomtom_flow_api,100.0,calibrated_n16
"Parking Spot (-1.2822, 36.8169)",tier1_cbd,-1.2821625,36.8168685,2026-08-26T10:16:44,10,2,0,0,3.0,tomtom_flow_api,100.0,calibrated_n16
"Parking Spot (-1.2905, 36.8197)",tier1_cbd,-1.2905274,36.8196906,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2903, 36.8205)",tier1_cbd,-1.290286,36.8204788,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2901, 36.8206)",tier1_cbd,-1.2901412,36.8206117,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
